Id,Balance,Amount,Currency,Type,Status,Modified,Trade Id,Instrument Symbol,Instrument Name,Commission,Account type
"912863844","5.45","-0.03","USD","TRADE","PROCESSED","2022-12-18 16:53:17","000d23dd-0001-54c4-0000-4b900020b875_000d23dd-0001-54c4-0000-0000803b0156","CRO/USD","Crypto.com Coin / USD","","CFD"
"912863843","5.48","-0.01","USD","TRADE","PROCESSED","2022-12-18 16:53:17","000d23dd-0001-54c4-0000-4b900020b874_000d23dd-0001-54c4-0000-0000803b0151","CRO/USD","Crypto.com Coin / USD","","CFD"
"912863841","5.49","-0.03","USD","TRADE","PROCESSED","2022-12-18 16:52:43","000d23dd-0001-54c4-0000-4b900020b5c1_000d23dd-0001-54c4-0000-0000803b0151","CRO/USD","Crypto.com Coin / USD","","CFD"
"912863840","5.52","0","USD","TRADE","PROCESSED","2022-12-18 16:52:43","000d23dd-0001-54c4-0000-4b900020b5c0_000d23dd-0001-54c4-0000-0000803b014e","CRO/USD","Crypto.com Coin / USD","","CFD"
"912863839","5.52","0","USD","TRADE","PROCESSED","2022-12-18 16:52:43","000d23dd-0001-54c4-0000-4b900020b5bf_000d23dd-0001-54c4-0000-0000803b014b","CRO/USD","Crypto.com Coin / USD","","CFD"
"912863838","5.52","0","USD","TRADE","PROCESSED","2022-12-18 16:52:43","000d23dd-0001-54c4-0000-4b900020b5be_000d23dd-0001-54c4-0000-0000803b0148","CRO/USD","Crypto.com Coin / USD","","CFD"
"912863837","5.52","0","USD","TRADE","PROCESSED","2022-12-18 16:52:43","000d23dd-0001-54c4-0000-4b900020b5bd_000d23dd-0001-54c4-0000-0000803b0145","CRO/USD","Crypto.com Coin / USD","","CFD"
"912863801","5.52","-0.01","USD","TRADE","PROCESSED","2022-12-18 16:51:31","000c869d-0001-54c4-0000-4b900020afc2_000c869d-0001-54c4-0000-0000803a0288","CHZ/USD","Chiliz / USD","","CFD"
"912863799","5.53","-0.01","USD","TRADE","PROCESSED","2022-12-18 16:51:23","000c869d-0001-54c4-0000-4b900020af51_000c869d-0001-54c4-0000-0000803a0283","CHZ/USD","Chiliz / USD","","CFD"
"912863789","5.54","-0.01","USD","TRADE","PROCESSED","2022-12-18 16:50:39","000c869d-0001-54c4-0000-4b900020ab4b_000c869d-0001-54c4-0000-0000803a027e","CHZ/USD","Chiliz / USD","","CFD"
